caso,comprimento,comandos,tempo
melhor,10,100.0,0.0
melhor,20,400.0,0.9980201721191406
melhor,30,900.0,0.0
melhor,40,1600.0,3.9947032928466797
melhor,50,2500.0,3.9942264556884766
melhor,60,3600.0,3.9947032928466797
melhor,70,4900.0,7.987260818481445
melhor,80,6400.0,9.601116180419922
melhor,100,10000.0,20.127058029174805
medio,10,168.0,0.5099773406982422
medio,20,692.0,1.0383129119873047
medio,30,1592.0,0.0
medio,40,3128.0,8.151531219482422
medio,50,4496.0,7.99107551574707
medio,60,7484.0,13.236522674560547
medio,70,9516.0,16.528606414794922
medio,80,12740.0,21.289587020874023
medio,100,20028.0,27.962684631347656
pior,10,280.0,0.4870891571044922
pior,20,1152.0,0.0
pior,30,2628.0,3.9932727813720703
pior,40,4704.0,5.183219909667969
pior,50,7336.0,7.987260818481445
pior,60,10620.0,13.122797012329102
pior,70,14468.0,16.371488571166992
pior,80,18924.0,23.03028106689453
pior,100,29620.0,39.18600082397461
